Day(d),Temperature(℃),pH,C/N,Ammonia(mg·kg−1),Nitrate(mg·kg−1),TN(wt.%),OM(wt.%),AR(L·min−1·kg−1),Additives,Cumulative NH3(g·kg−1),Daily NH3(g·kg−1)
14,40.39538715,7.866328257,12.85265374,12395.83333,57.19237435,2.315540666,51.30769231,0.2,1,0.036210526,0.022204066
23,26.67215815,7.58714044,11.47189011,11312.5,66.55112652,2.549512256,50.42307692,0.2,1,0.09275188,0.006719651
0,38.65035784,7.583677686,21.74293637,1122.589532,20.66115702,1.715820896,64.31724138,0.132575004,0,0,0
3,49.52602472,7.940082645,21.0743063,2093.663912,35.53719008,1.624477612,59.02068966,0.132575004,0,0.190299049,0.140367422
6,53.78093689,8.539256198,16.89583512,3395.316804,97.52066116,1.785671642,52.0137931,0.132575004,0,1.014928263,0.330918016
9,52.07709824,8.420454545,11.91835212,2706.61157,127.2727273,2.120597015,43.57241379,0.132575004,0,1.826870873,0.307644661
12,48.49759271,8.296487603,10.76602982,2107.438017,390.0826446,2.231641791,41.42068966,0.132575004,0,2.327991702,0.238551889
16,42.27195836,8.337809917,9.823235374,1198.347107,590.9090909,2.27641791,38.55172414,0.132575004,0,2.600753673,0.120003237
22,26.89206246,8.188016529,8.972257438,413.2231405,841.322314,2.303283582,35.62758621,0.132575004,0,2.708589801,0.052365049
0,38.65029278,7.547520661,20.69243696,1219.008264,42.97520661,1.787462687,63.76551724,0.132575004,1,0,0
3,47.87085231,8.415289256,24.18925571,2892.561983,33.05785124,1.497313433,62.44137931,0.132575004,1,0.399628003,0.229097088
6,51.40845804,8.926652893,19.09571087,4194.214876,50.41322314,1.714029851,56.42758621,0.132575004,1,1.484332584,0.413102051
9,52.68405986,8.751033058,13.63763117,3498.62259,70.24793388,2.029253731,47.71034483,0.132575004,1,2.58806707,0.35055491
12,50.37338972,8.539256198,10.56841763,2885.674931,209.0909091,2.109850746,38.44137931,0.132575004,1,3.222397234,0.265461705
16,43.20988939,8.487603306,9.51243309,1198.347107,340.4958678,2.199402985,36.06896552,0.132575004,1,3.514189109,0.109821144
22,27.33337671,8.239669421,8.930519602,702.4793388,670.2479339,2.267462687,34.91034483,0.132575004,1,3.577622126,0.031273571
0,38.59518543,7.490702479,21.85701264,1143.250689,30.5785124,1.706865672,64.31724138,0.132575004,1,0,0
3,49.47085231,8.095041322,21.31520686,2293.38843,50.41322314,1.631641791,59.95862069,1.33E-01,1,0.260075367,0.172368285
6,53.06369551,8.616735537,16.72767525,3498.62259,112.3966942,1.774925373,51.1862069,0.132575004,1,1.135450994,0.36000971
9,50.97371503,8.477272727,12.27758284,3099.173554,152.0661157,2.079402985,44.0137931,0.132575004,1,1.928363699,0.240006473
12,48.16655823,8.32231405,10.96820528,1900.826446,323.1404959,2.167164179,40.97931034,0.132575004,1,2.359708211,0.197823517
16,43.09954457,8.337809917,9.694620494,1398.071625,491.7355372,2.240597015,37.44827586,0.132575004,1,2.569037165,0.061819849
22,26.83689005,8.17768595,9.231383251,454.5454545,789.2561983,2.287164179,36.4,0.132575004,1,2.689559896,0.056728803
0,38.42973325,7.506198347,21.03280733,1253.443526,40.49586777,1.757014925,63.71034483,0.132575004,1,0,0
3,48.47774886,8.291322314,23.69397011,2692.837466,50.41322314,1.536716418,62.77241379,0.132575004,1,0.336194987,0.212369364
6,51.90507482,8.797520661,18.08679417,3898.071625,40.49586777,1.719402985,53.6137931,0.132575004,1,1.262317027,0.370919095
9,53.07033182,8.678719008,12.55460758,3002.754821,109.9173554,2.079402985,45.00689655,0.132575004,1,2.131349352,0.251643151
12,50.64931685,8.487603306,9.749172217,2396.694215,290.9090909,2.228059701,37.44827586,0.132575004,1,2.55000726,0.165095362
16,41.00292778,8.404958678,8.944534029,1095.041322,541.322314,2.288955224,35.29655172,0.132575004,1,2.746649611,0.065456311
22,26.0093689,8.239669421,8.542203844,399.4490358,769.4214876,2.348059701,34.57931034,1.33E-01,1,2.848142437,0.047274002
0,45.29695024,6.720848057,20.20606591,595.6241956,77.41935484,1.808798646,63.00996684,0.132575004,0,0,0
4,54.92776886,8.390459364,21.07353028,1507.279601,163.8709677,1.358714044,49.36312228,0.132575004,0,0.258382839,0.154940959
8,46.96629213,8.456713781,20.95388566,1064.792471,85.16129032,1.247038917,45.04865596,0.132575004,0,1.079671149,0.218473234
12,37.2070626,8.116607774,13.92495522,693.1225869,120,1.82571912,43.82935026,0.132575004,0,1.605664785,0.073904892
16,30.20866774,7.988515901,12.2954632,588.1193694,157.4193548,2.03891709,43.21969741,0.132575004,0,1.744084163,0.029821272
20,27.19101124,8.165194346,10.9999221,303.9655727,189.6774194,2.177664975,41.29694611,0.132575004,0,1.808679873,0.015558925
0,42.3434992,6.716431095,19.66281845,466.457529,70.96774194,1.83248731,62.11893575,0.132575004,1,0,0
4,52.74478331,8.399293286,19.85622553,1073.954311,105.8064516,1.551607445,53.11483212,0.132575004,1,0.198401109,0.122526532
8,45.61797753,8.399293286,20.6731212,756.451094,82.58064516,1.358714044,48.42519482,0.132575004,1,0.752078621,0.08362922
12,36.37239165,8.090106007,20.17377917,618.1306306,122.5806452,1.338409475,46.5493399,0.132575004,1,1.222704506,0.063532276
16,29.75922953,7.913427562,10.02804498,688.1274131,212.9032258,2.448392555,42.32866632,0.132575004,1,1.342667967,0.027228118
20,27.19101124,8.050353357,9.881566205,374.7828185,291.6129032,2.377326565,40.49970777,1.33E-01,1,1.467245407,0.031766138
0,41.76565008,6.716431095,19.42531699,174.7908623,73.5483871,1.873096447,62.7285886,0.132575004,1,0,0
4,54.09309791,8.368374558,20.85747716,1203.120978,96.77419355,1.494077834,53.72448497,0.132575004,1,0.221471005,0.12771284
8,46.51685393,8.408127208,19.473009,710.6177606,110.9677419,1.470389171,49.36312228,0.132575004,1,0.682868932,0.085574086
12,37.2070626,7.992932862,15.92079316,588.9559202,121.2903226,1.642978003,45.09555233,0.132575004,1,1.121196962,0.068070296
16,30.14446228,7.838339223,9.550098586,742.286036,189.6774194,2.556683587,42.09418446,0.132575004,1,1.241160423,0.023338387
20,27.44783307,8.015017668,9.199348364,374.798906,268.3870968,2.485617597,39.42109119,0.132575004,1,1.333440009,0.021393521
0,38.44416562,7.218204489,14.61685912,1914.0625,768.8976378,2.637141112,66.45454545,0.048549581,0,0,0
4,54.69259724,7.940149626,14.09415167,2179.6875,761.8110236,2.521686011,61.27272727,0.048549581,0,0.001203211,0.000991965
8,58.58218319,9.028678304,13.9771548,2453.125,790.1574803,2.316432498,55.81818182,0.048549581,0,0.09685852,0.048606265
13,48.85821832,8.635910224,14.7297563,2265.625,861.023622,2.076359194,52.72727273,0.048549581,0,0.252072795,0.020037685
17,39.88707654,8.198254364,15.44756908,2156.25,921.2598425,1.938912645,51.63636364,0.048549581,0,0.282754686,0.004959823
